image_name,min_reflectance,min_edge_contrast,contrast,modulation,defects
C128_4.4LOW.BMP,8.039215087890625,44.62744903564453,74.1568603515625,60.18892288208008,30.421802520751953
C128_4.4UP.BMP,8.0,45.21568298339844,73.52940368652344,61.50626754760742,10.947358131408691
C128_7.5LOW.BMP,0.7058823704719543,46.039215087890625,71.60783386230469,64.29734802246094,22.513652801513672
C128_7.5UP.BMP,0.3529411852359772,47.56862258911133,74.74510192871094,63.64619064331055,8.029496192932129
C39_4.4LOW.BMP,1.4509804248809814,37.647056579589844,75.09803771972656,50.14813995361328,8.875593185424805
C39_4.4UP.BMP,1.1764706373214722,43.01961135864258,73.45098114013672,58.577171325683594,7.892723083496094
C39_7.5LOW.BMP,0.0784313753247261,47.33333206176758,76.62745666503906,61.77936553955078,33.481285095214844
C39_7.5UP.BMP,0.1568627506494522,53.29412078857422,75.52940368652344,70.56565856933594,7.483904838562012
EAN-UPC-CONTRAST IMGB.BMP,10.156862258911133,34.352943420410156,47.45097732543945,72.40176391601562,11.493890762329102
EAN-UPC-DECODABILITY IMGB.BMP,7.607842922210693,58.66666793823242,77.60784912109375,75.59905242919922,8.18441390991211
EAN-UPC-DEFECTS IMGB.BMP,7.098039150238037,58.4705924987793,81.80392456054688,71.48194122314453,24.44468879699707
EAN-UPC-EAN-13 MASTER GRADE IMGB.BMP,7.215685844421387,57.68627166748047,78.82352447509766,73.20396423339844,8.442769050598145
EAN-UPC-UPC-A MASTER GRADE IMGB.BMP,6.941176414489746,57.960784912109375,81.09803771972656,71.46150207519531,10.59153938293457
EAN128-CONTRAST IMGB.BMP,9.333333969116211,36.078433990478516,51.68627166748047,69.80363464355469,12.142881393432617
EAN128-DEFECTS IMGB.BMP,5.372549057006836,59.5294075012207,81.45097351074219,73.09345245361328,31.393667221069336
EAN128-LOW DECODABILITY IMGB.BMP,6.549019813537598,65.64704895019531,88.62745666503906,74.09379577636719,7.942549228668213
EAN128-MASTER IMGB.BMP,5.56862735748291,59.17647171020508,81.8823471069336,72.27234649658203,7.9514641761779785
I25-CONTRAST IMGB.BMP,7.686274528503418,41.0588264465332,54.588233947753906,75.22286987304688,11.568292617797852
I25-DEFECTS IMGB.BMP,4.627451419830322,63.647056579589844,83.60784149169922,76.13002014160156,7.972038269042969
I25-LOW DECODABILITY IMGB.BMP,4.43137264251709,64.5882339477539,84.50980377197266,76.4300308227539,7.288819789886475
I25-MASTER GRADE IMGB.BMP,4.352941036224365,61.5294075012207,83.01960754394531,74.11751556396484,7.322360992431641
ROTATED.BMP,5.058823585510254,62.70588302612305,82.0392074584961,76.43522644042969,17.23760986328125
UPC#01.BMP,13.333333969116211,61.01961135864258,79.76469421386719,76.55957794189453,6.251012802124023
UPC#03.BMP,9.411765098571777,62.07843017578125,79.92156982421875,77.67784118652344,5.689286708831787
UPC#04.BMP,11.803921699523926,52.196075439453125,67.7254867553711,77.07559967041016,6.080867767333984
UPC#05.BMP,16.35293960571289,38.47058868408203,52.0,73.99088287353516,7.3976335525512695
UPC#06.BMP,16.627452850341797,26.901962280273438,37.41176223754883,71.92054748535156,8.812281608581543
UPC#07.BMP,16.156864166259766,11.411766052246094,17.80392074584961,64.10521697998047,17.39076805114746
UPC#08.BMP,13.568628311157227,56.66666793823242,79.13725280761719,71.60813903808594,5.296229839324951
UPC#09.BMP,13.803921699523926,48.117652893066406,79.25489807128906,60.7181282043457,5.7209978103637695
UPC#10.BMP,13.960784912109375,42.117645263671875,79.9607925415039,52.67633056640625,4.804831504821777
UPC#11.BMP,10.313725471496582,37.254905700683594,79.29412078857422,46.98670196533203,5.738497257232666
UPC#12.BMP,12.078431129455566,23.411762237548828,81.25489807128906,28.81661605834961,5.161899566650391
